strategy,seed,noise_rate,n_reviews,precision,recall,f1,accuracy,fpr,n_flagged,n_positive,roc_auc,average_precision
preference_model,0,0.2,40,0.74,0.74,0.74,0.9913333333333333,0.004406779661016949,50,50,0.8100203389830509,0.7483955623741707
preference_model,0,0.2,50,0.72,0.72,0.72,0.9906666666666667,0.0047457627118644066,50,50,0.7960677966101696,0.7310687800667703
preference_model,0,0.2,60,0.72,0.72,0.72,0.9906666666666667,0.0047457627118644066,50,50,0.8372813559322033,0.7345238560655681
preference_model,0,0.2,70,0.76,0.76,0.76,0.992,0.004067796610169492,50,50,0.8895694915254236,0.7850967401775338
preference_model,0,0.2,80,0.84,0.84,0.84,0.9946666666666667,0.002711864406779661,50,50,0.961986440677966,0.8724162195369273
preference_model,1,0.2,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
preference_model,1,0.2,10,0.04,0.04,0.04,0.968,0.016271186440677966,50,50,0.4076949152542373,0.017725709630648148
preference_model,1,0.2,20,0.82,0.82,0.82,0.994,0.0030508474576271187,50,50,0.9887661016949153,0.8811322534652406
preference_model,1,0.2,30,0.62,0.62,0.62,0.9873333333333333,0.006440677966101695,50,50,0.9768372881355932,0.726429586951365
preference_model,1,0.2,40,0.66,0.66,0.66,0.9886666666666667,0.00576271186440678,50,50,0.9388915254237288,0.6766167661152213
preference_model,1,0.2,50,0.74,0.74,0.74,0.9913333333333333,0.004406779661016949,50,50,0.9923559322033899,0.8362089760368454
preference_model,1,0.2,60,0.8,0.8,0.8,0.9933333333333333,0.003389830508474576,50,50,0.9976135593220339,0.9105877543660439
preference_model,1,0.2,70,0.78,0.78,0.78,0.9926666666666667,0.003728813559322034,50,50,0.9979864406779662,0.9136214399038118
preference_model,1,0.2,80,0.82,0.82,0.82,0.994,0.0030508474576271187,50,50,0.9930542372881356,0.8897604634306813
active_learning,0,0.2,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
active_learning,0,0.2,10,0.12,0.12,0.12,0.9706666666666667,0.014915254237288136,50,50,0.25959661016949154,0.03370817107364671
active_learning,0,0.2,20,0.7,0.7,0.7,0.99,0.005084745762711864,50,50,0.9563559322033899,0.7886298938266696
active_learning,0,0.2,30,0.7,0.7,0.7,0.99,0.005084745762711864,50,50,0.9723728813559321,0.6983219292371691
active_learning,0,0.2,40,0.74,0.74,0.74,0.9913333333333333,0.004406779661016949,50,50,0.9688576271186441,0.7059973644851453
active_learning,0,0.2,50,0.4,0.4,0.4,0.98,0.010169491525423728,50,50,0.9570101694915254,0.38698955265250684
active_learning,0,0.2,60,0.5,0.5,0.5,0.9833333333333333,0.00847457627118644,50,50,0.9308508474576271,0.5096398968635198
active_learning,0,0.2,70,0.1,0.1,0.1,0.97,0.015254237288135594,50,50,0.8870406779661018,0.17243399329366202
active_learning,0,0.2,80,0.34,0.34,0.34,0.978,0.011186440677966102,50,50,0.9415457627118644,0.25914890047561856
active_learning,1,0.2,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
active_learning,1,0.2,10,0.04,0.04,0.04,0.968,0.016271186440677966,50,50,0.4076949152542373,0.017725709630648148
active_learning,1,0.2,20,0.76,0.76,0.76,0.992,0.004067796610169492,50,50,0.9615898305084746,0.8092089756260313
active_learning,1,0.2,30,0.88,0.88,0.88,0.996,0.002033898305084746,50,50,0.9920338983050848,0.9068934131335583
active_learning,1,0.2,40,0.74,0.74,0.74,0.9913333333333333,0.004406779661016949,50,50,0.9749999999999999,0.7802433353607903
active_learning,1,0.2,50,0.74,0.74,0.74,0.9913333333333333,0.004406779661016949,50,50,0.9820033898305085,0.7041542539611347
active_learning,1,0.2,60,0.72,0.72,0.72,0.9906666666666667,0.0047457627118644066,50,50,0.9893864406779661,0.7050734973393659
active_learning,1,0.2,70,0.82,0.82,0.82,0.994,0.0030508474576271187,50,50,0.9950508474576271,0.8714711606014927
active_learning,1,0.2,80,0.8,0.8,0.8,0.9933333333333333,0.003389830508474576,50,50,0.9942542372881356,0.8441648685259907
rule_mining,0,0.2,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
rule_mining,0,0.2,10,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
rule_mining,0,0.2,20,0.7,0.7,0.7,0.99,0.005084745762711864,50,50,0.912128813559322,0.6634289401639305
rule_mining,0,0.2,30,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.999464406779661,0.9651039713190672
rule_mining,0,0.2,40,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.999464406779661,0.9651039713190672
rule_mining,0,0.2,50,0.7,0.7,0.7,0.99,0.005084745762711864,50,50,0.9941084745762712,0.8278892598385371
rule_mining,0,0.2,60,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9996338983050848,0.9773442543445409
rule_mining,0,0.2,70,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9996338983050848,0.9773442543445409
rule_mining,0,0.2,80,0.94,0.94,0.94,0.998,0.001016949152542373,50,50,0.999749152542373,0.9839417863536948
rule_mining,1,0.2,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
rule_mining,1,0.2,10,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
rule_mining,1,0.2,20,0.46,0.46,0.46,0.982,0.009152542372881356,50,50,0.8589966101694915,0.5322060615451876
rule_mining,1,0.2,30,0.88,0.88,0.88,0.996,0.002033898305084746,50,50,0.9572338983050848,0.8934361621267584
rule_mining,1,0.2,40,0.2,0.2,0.2,0.9733333333333334,0.013559322033898305,50,50,0.8580474576271186,0.30723815748761274
rule_mining,1,0.2,50,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
rule_mining,1,0.2,60,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
rule_mining,1,0.2,70,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
rule_mining,1,0.2,80,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
